date,asset,ret
2016-12-05,GLD,-0.005350441210868029
2016-12-06,GLD,-0.0009861987578327902
2016-12-07,GLD,0.003589711251758221
2016-12-08,GLD,-0.0023249765892274787
2016-12-09,GLD,-0.010486673587394413
2016-12-12,GLD,0.003804331187865717
2016-12-13,GLD,-0.0033387723118656343
2016-12-14,GLD,-0.014667226454941784
2016-12-15,GLD,-0.01369112807217554
2016-12-16,GLD,0.006614558767378709
2016-12-19,GLD,0.004997623978540311
2016-12-20,GLD,-0.007367118973593101
2016-12-21,GLD,0.0005566152526592649
2016-12-22,GLD,-0.0024107755207141146
2016-12-23,GLD,0.0031601819765598727
2016-12-27,GLD,0.005837091185366683
2016-12-28,GLD,0.0027634769574851337
2016-12-29,GLD,0.01313614088883086
2016-12-30,GLD,-0.006165566230220687
2017-01-03,GLD,0.00784600497730814
2017-01-04,GLD,0.0035303646722089077
2017-01-05,GLD,0.015515074970534615
2017-01-06,GLD,-0.00737255123072611
2017-01-09,GLD,0.008232645807116912
2017-01-10,GLD,0.0042602588509306205
2017-01-11,GLD,0.0030932255360247574
2017-01-12,GLD,0.003612367067042932
2017-01-13,GLD,0.0026336178800692167
2017-01-17,GLD,0.01435950794847174
2017-01-18,GLD,-0.008459177733679324
2017-01-19,GLD,-0.0008706024299159898
2017-01-20,GLD,0.0024397178433508415
2017-01-23,GLD,0.006431967354547874
2017-01-24,GLD,-0.004490925540628465
2017-01-25,GLD,-0.008241493674922662
2017-01-26,GLD,-0.009272197003353688
2017-01-27,GLD,0.0020306880028346797
2017-01-30,GLD,0.004229477187141839
2017-01-31,GLD,0.01386331327657886
2017-02-01,GLD,-0.0030290445198764004
2017-02-02,GLD,0.005555550404536813
2017-02-03,GLD,0.0025034610211955854
2017-02-06,GLD,0.013519329475210284
2017-02-07,GLD,-0.0020390643159919897
2017-02-08,GLD,0.00621491028966048
2017-02-09,GLD,-0.00761487018603868
2017-02-10,GLD,0.0026430007347089113
2017-02-13,GLD,-0.006802682251218939
2017-02-14,GLD,0.0011129901542927811
2017-02-15,GLD,0.004447076385095894
2017-02-16,GLD,0.0053640263872474225
2017-02-17,GLD,-0.0033875467452245678
2017-02-21,GLD,0.000594830851824435
2017-02-22,GLD,0.0013588421410561935
2017-02-23,GLD,0.008735465586520608
2017-02-24,GLD,0.00638973004234078
2017-02-27,GLD,-0.004845398633643638
2017-02-28,GLD,0.0009234436519076628
2017-03-01,GLD,-0.0014258642418293332
2017-03-02,GLD,-0.01243067157641009
2017-03-03,GLD,-0.0005953367386810626
2017-03-06,GLD,-0.006722839768239397
2017-03-07,GLD,-0.008053482107396648
2017-03-08,GLD,-0.0062187012290060295
2017-03-09,GLD,-0.005127727710842134
2017-03-10,GLD,0.002183978311645074
2017-03-13,GLD,0.0001743082536056484
2017-03-14,GLD,-0.005403478549159679
2017-03-15,GLD,0.018664539100545774
2017-03-16,GLD,0.004129061134912737
2017-03-17,GLD,0.0022273151662723922
2017-03-20,GLD,0.004444860945005402
2017-03-21,GLD,0.008765200923941618
2017-03-22,GLD,0.0024464392887426634
2017-03-23,GLD,-0.001346492128619703
2017-03-24,GLD,0.001601099219161961
