Date,SPY,VEA,EEM,IEF,TLT,TIP,LQD,VNQ,GLD,DBC
2019-09-19,272.54254150390625,34.03139114379883,35.639312744140625,95.30572509765625,115.8995132446289,93.99987030029297,99.96366882324219,72.32392120361328,141.27999877929688,13.240236282348633
2019-09-20,271.25482177734375,33.95792007446289,35.67360305786133,95.85350036621094,117.43061828613281,94.51917266845703,100.65229797363281,72.32392120361328,142.9499969482422,13.257363319396973
2019-09-23,271.1911926269531,33.90894317626953,35.7078971862793,95.99042510986328,117.40579223632812,94.64899444580078,100.58104705810547,72.44002532958984,143.75,13.291621208190918
2019-09-24,269.06317138671875,33.76513671875,35.33067321777344,96.46971893310547,118.82105255126953,94.85993957519531,100.89762878417969,72.2793197631836,144.50999450683594,13.137465476989746
2019-09-25,270.6546630859375,33.70762252807617,35.30495071411133,95.83636474609375,117.08302307128906,94.36499786376953,100.3277587890625,72.41975402832031,141.8300018310547,13.06038761138916
2019-09-26,270.09075927734375,33.781578063964844,35.2963752746582,96.04179382324219,117.8362045288086,94.4217758178711,100.54146575927734,73.02824401855469,141.7899932861328,13.06038761138916
2019-09-27,268.6357116699219,33.633670806884766,34.84199142456055,96.17874908447266,118.12580871582031,94.2757339477539,100.56519317626953,72.62257385253906,141.05999755859375,13.009001731872559
2019-09-30,269.8816223144531,33.756927490234375,35.03917694091797,96.25575256347656,118.41552734375,94.35690307617188,100.89762878417969,72.74739074707031,138.8699951171875,12.880537986755371
2019-10-01,266.67144775390625,33.452884674072266,34.79055404663086,96.52228546142578,118.77200317382812,94.54054260253906,101.01348876953125,72.06087493896484,139.6300048828125,12.87197494506836
2019-10-02,261.96075439453125,32.78728103637695,34.5247802734375,96.85655975341797,119.0621566772461,94.54054260253906,100.97380828857422,71.75662994384766,141.25999450683594,12.760640144348145
2019-10-03,264.10693359375,33.017364501953125,34.97058868408203,97.36231994628906,120.14826965332031,94.84129333496094,101.37056732177734,72.4509506225586,141.89999389648438,12.743513107299805
2019-10-04,267.680908203125,33.272098541259766,35.12491226196289,97.55088806152344,121.03526306152344,95.13385772705078,101.7911605834961,72.8878173828125,141.89999389648438,12.846282005310059
2019-10-07,266.52593994140625,33.23100662231445,34.833412170410156,97.22515106201172,120.03217315673828,94.87378692626953,101.27537536621094,72.7317886352539,140.69000244140625,12.829153060913086
2019-10-08,262.3882141113281,32.91875457763672,34.584800720214844,97.43086242675781,120.35546875,94.784423828125,101.18807220458984,72.34952545166016,141.9199981689453,12.820589065551758
2019-10-09,264.87994384765625,33.18170928955078,34.85056686401367,97.18229675292969,119.67570495605469,94.58931732177734,101.22774505615234,72.48992919921875,142.0500030517578,12.854846954345703
