date,asset,is_live,is_tradeable,has_full_history_window
2016-04-12,SPY,True,True,True
2016-04-13,SPY,True,True,True
2016-04-14,SPY,True,True,True
2016-04-15,SPY,True,True,True
2016-04-18,SPY,True,True,True
2016-04-19,SPY,True,True,True
2016-04-20,SPY,True,True,True
2016-04-21,SPY,True,True,True
2016-04-22,SPY,True,True,True
2016-04-25,SPY,True,True,True
2016-04-26,SPY,True,True,True
2016-04-27,SPY,True,True,True
2016-04-28,SPY,True,True,True
2016-04-29,SPY,True,True,True
2016-05-02,SPY,True,True,True
2016-05-03,SPY,True,True,True
2016-05-04,SPY,True,True,True
2016-05-05,SPY,True,True,True
2016-05-06,SPY,True,True,True
2016-05-09,SPY,True,True,True
2016-05-10,SPY,True,True,True
2016-05-11,SPY,True,True,True
2016-05-12,SPY,True,True,True
2016-05-13,SPY,True,True,True
2016-05-16,SPY,True,True,True
2016-05-17,SPY,True,True,True
2016-05-18,SPY,True,True,True
2016-05-19,SPY,True,True,True
2016-05-20,SPY,True,True,True
2016-05-23,SPY,True,True,True
2016-05-24,SPY,True,True,True
2016-05-25,SPY,True,True,True
2016-05-26,SPY,True,True,True
2016-05-27,SPY,True,True,True
2016-05-31,SPY,True,True,True
2016-06-01,SPY,True,True,True
2016-06-02,SPY,True,True,True
2016-06-03,SPY,True,True,True
2016-06-06,SPY,True,True,True
2016-06-07,SPY,True,True,True
2016-06-08,SPY,True,True,True
2016-06-09,SPY,True,True,True
2016-06-10,SPY,True,True,True
2016-06-13,SPY,True,True,True
2016-06-14,SPY,True,True,True
2016-06-15,SPY,True,True,True
2016-06-16,SPY,True,True,True
2016-06-17,SPY,True,True,True
2016-06-20,SPY,True,True,True
2016-06-21,SPY,True,True,True
2016-06-22,SPY,True,True,True
2016-06-23,SPY,True,True,True
2016-06-24,SPY,True,True,True
2016-06-27,SPY,True,True,True
2016-06-28,SPY,True,True,True
2016-06-29,SPY,True,True,True
2016-06-30,SPY,True,True,True
2016-07-01,SPY,True,True,True
2016-07-05,SPY,True,True,True
2016-07-06,SPY,True,True,True
2016-07-07,SPY,True,True,True
2016-07-08,SPY,True,True,True
2016-07-11,SPY,True,True,True
2016-07-12,SPY,True,True,True
2016-07-13,SPY,True,True,True
2016-07-14,SPY,True,True,True
2016-07-15,SPY,True,True,True
2016-07-18,SPY,True,True,True
2016-07-19,SPY,True,True,True
2016-07-20,SPY,True,True,True
2016-07-21,SPY,True,True,True
2016-07-22,SPY,True,True,True
2016-07-25,SPY,True,True,True
2016-07-26,SPY,True,True,True
2016-07-27,SPY,True,True,True
2016-07-28,SPY,True,True,True
2016-07-29,SPY,True,True,True
2016-08-01,SPY,True,True,True
2016-08-02,SPY,True,True,True
2016-08-03,SPY,True,True,True
2016-08-04,SPY,True,True,True
2016-08-05,SPY,True,True,True
2016-08-08,SPY,True,True,True
2016-08-09,SPY,True,True,True
2016-08-10,SPY,True,True,True
2016-08-11,SPY,True,True,True
2016-08-12,SPY,True,True,True
2016-08-15,SPY,True,True,True
2016-08-16,SPY,True,True,True
2016-08-17,SPY,True,True,True
2016-08-18,SPY,True,True,True
2016-08-19,SPY,True,True,True
2016-08-22,SPY,True,True,True
2016-08-23,SPY,True,True,True
2016-08-24,SPY,True,True,True
2016-08-25,SPY,True,True,True
2016-08-26,SPY,True,True,True
2016-08-29,SPY,True,True,True
2016-08-30,SPY,True,True,True
2016-08-31,SPY,True,True,True
2016-09-01,SPY,True,True,True
2016-09-02,SPY,True,True,True
2016-09-06,SPY,True,True,True
2016-09-07,SPY,True,True,True
2016-09-08,SPY,True,True,True
2016-09-09,SPY,True,True,True
2016-09-12,SPY,True,True,True
2016-09-13,SPY,True,True,True
2016-09-14,SPY,True,True,True
2016-09-15,SPY,True,True,True
2016-09-16,SPY,True,True,True
2016-09-19,SPY,True,True,True
2016-09-20,SPY,True,True,True
2016-09-21,SPY,True,True,True
2016-09-22,SPY,True,True,True
2016-09-23,SPY,True,True,True
2016-09-26,SPY,True,True,True
2016-09-27,SPY,True,True,True
2016-09-28,SPY,True,True,True
2016-09-29,SPY,True,True,True
2016-09-30,SPY,True,True,True
2016-10-03,SPY,True,True,True
2016-10-04,SPY,True,True,True
2016-10-05,SPY,True,True,True
2016-10-06,SPY,True,True,True
2016-10-07,SPY,True,True,True
2016-10-10,SPY,True,True,True
2016-10-11,SPY,True,True,True
2016-10-12,SPY,True,True,True
2016-10-13,SPY,True,True,True
2016-10-14,SPY,True,True,True
2016-10-17,SPY,True,True,True
2016-10-18,SPY,True,True,True
2016-10-19,SPY,True,True,True
2016-10-20,SPY,True,True,True
2016-10-21,SPY,True,True,True
2016-10-24,SPY,True,True,True
2016-10-25,SPY,True,True,True
2016-10-26,SPY,True,True,True
2016-10-27,SPY,True,True,True
2016-10-28,SPY,True,True,True
2016-10-31,SPY,True,True,True
2016-11-01,SPY,True,True,True
2016-11-02,SPY,True,True,True
2016-11-03,SPY,True,True,True
2016-11-04,SPY,True,True,True
2016-11-07,SPY,True,True,True
