date,asset,weight,strategy
2022-05-31,LQD,0.1,EW
2022-06-30,LQD,0.1,EW
2022-07-29,LQD,0.1,EW
2022-08-31,LQD,0.1,EW
2022-09-30,LQD,0.1,EW
2022-10-31,LQD,0.1,EW
2022-11-30,LQD,0.1,EW
2022-12-30,LQD,0.1,EW
2023-01-31,LQD,0.1,EW
2023-02-28,LQD,0.1,EW
2023-03-31,LQD,0.1,EW
2023-04-28,LQD,0.1,EW
2023-05-31,LQD,0.1,EW
2023-06-30,LQD,0.1,EW
2023-07-31,LQD,0.1,EW
2023-08-31,LQD,0.1,EW
2023-09-29,LQD,0.1,EW
2023-10-31,LQD,0.1,EW
2023-11-30,LQD,0.1,EW
2023-12-29,LQD,0.1,EW
2024-01-31,LQD,0.1,EW
2024-02-29,LQD,0.1,EW
2024-03-28,LQD,0.1,EW
2024-04-30,LQD,0.1,EW
2024-05-31,LQD,0.1,EW
2024-06-28,LQD,0.1,EW
2024-07-31,LQD,0.1,EW
2024-08-30,LQD,0.1,EW
2024-09-30,LQD,0.1,EW
2024-10-31,LQD,0.1,EW
2024-11-29,LQD,0.1,EW
2024-12-31,LQD,0.1,EW
2025-01-31,LQD,0.1,EW
2025-02-28,LQD,0.1,EW
2025-03-31,LQD,0.1,EW
2025-04-30,LQD,0.1,EW
2025-05-30,LQD,0.1,EW
2025-06-30,LQD,0.1,EW
2025-07-31,LQD,0.1,EW
2025-08-29,LQD,0.1,EW
2025-09-30,LQD,0.1,EW
