date,asset,ctb,strategy
2021-04-30,TLT,0.4127605957937159,ERC
2021-05-28,TLT,0.41592382775427167,ERC
2021-06-30,TLT,0.4165140095942831,ERC
2021-07-30,TLT,0.41234995555485315,ERC
2021-08-31,TLT,0.41124540836485507,ERC
2021-09-30,TLT,0.4082594759757003,ERC
2021-10-29,TLT,0.40710648448261594,ERC
2021-11-30,TLT,0.40272845391290474,ERC
2021-12-31,TLT,0.39942297406260086,ERC
2022-01-31,TLT,0.3993373556461015,ERC
2022-02-28,TLT,0.401423830931273,ERC
2022-03-31,TLT,0.40493363817054384,ERC
2022-04-29,TLT,0.41005206370538555,ERC
2022-05-31,TLT,0.4142391155729287,ERC
2022-06-30,TLT,0.4201647474584361,ERC
2022-07-29,TLT,0.41789570679840365,ERC
2022-08-31,TLT,0.420795918267195,ERC
2022-09-30,TLT,0.4281869670817741,ERC
2022-10-31,TLT,0.43343082928999926,ERC
2022-11-30,TLT,0.4394756610028142,ERC
2022-12-30,TLT,0.4430127816953521,ERC
2023-01-31,TLT,0.44609928938538373,ERC
2023-02-28,TLT,0.4468022488719902,ERC
2023-03-31,TLT,0.4482573874206218,ERC
2023-04-28,TLT,0.44842791797600173,ERC
2023-05-31,TLT,0.4488042421294736,ERC
2023-06-30,TLT,0.4508014920813689,ERC
2023-07-31,TLT,0.4542652162761881,ERC
2023-08-31,TLT,0.45842661630993503,ERC
2023-09-29,TLT,0.46034623762786364,ERC
2023-10-31,TLT,0.4650226211860718,ERC
2023-11-30,TLT,0.46988674880877357,ERC
2023-12-29,TLT,0.47493850166701235,ERC
2024-01-31,TLT,0.4770221919828563,ERC
2024-02-29,TLT,0.4795449452782421,ERC
2024-03-28,TLT,0.47977886954143684,ERC
2024-04-30,TLT,0.48129677926781284,ERC
2024-05-31,TLT,0.4840758402156554,ERC
2024-06-28,TLT,0.48498601390274565,ERC
2024-07-31,TLT,0.48698229332839793,ERC
2024-08-30,TLT,0.48947250311718776,ERC
2024-09-30,TLT,0.4879496121126821,ERC
2024-10-31,TLT,0.4883962835665916,ERC
2024-11-29,TLT,0.4906067980612188,ERC
2024-12-31,TLT,0.4917686531042123,ERC
2025-01-31,TLT,0.4934831619342941,ERC
2025-02-28,TLT,0.4957748183504733,ERC
2025-03-31,TLT,0.5502568170433931,ERC
2025-04-30,TLT,0.5751199757885934,ERC
2025-05-30,TLT,0.5806735256108244,ERC
2025-06-30,TLT,0.5903340478867094,ERC
2025-07-31,TLT,0.5967450228971224,ERC
2025-08-29,TLT,0.5969571598079989,ERC
2025-09-30,TLT,0.6000797544505618,ERC
2025-10-31,TLT,0.6006964244909163,ERC
2025-11-28,TLT,0.602057265996232,ERC
2013-01-31,VEA,0.5635051355269612,ERC
2013-02-28,VEA,0.5615084038103244,ERC
2013-03-28,VEA,0.5622841977043478,ERC
2013-04-30,VEA,0.5624434361146166,ERC
2013-05-31,VEA,0.5623450789777319,ERC
2013-06-28,VEA,0.5666389894733633,ERC
2013-07-31,VEA,0.5708572960775393,ERC
2013-08-30,VEA,0.5729284684719249,ERC
2013-09-30,VEA,0.5772762871125667,ERC
2013-10-31,VEA,0.5601158449321839,ERC
2013-11-29,VEA,0.5540092447983254,ERC
2013-12-31,VEA,0.550210574392934,ERC
2014-01-31,VEA,0.5506545443512165,ERC
2014-02-28,VEA,0.5478782617528012,ERC
2014-03-31,VEA,0.5386954701890434,ERC
2014-04-30,VEA,0.5363250174217525,ERC
2014-05-30,VEA,0.5298531810049681,ERC
2014-06-30,VEA,0.5212149640397965,ERC
2014-07-31,VEA,0.5195765621887657,ERC
2014-08-29,VEA,0.5165870629247282,ERC
2014-09-30,VEA,0.515037029899672,ERC
2014-10-31,VEA,0.5124185564707204,ERC
2014-11-28,VEA,0.5115681148135385,ERC
2014-12-31,VEA,0.5095492742261714,ERC
2015-01-30,VEA,0.5055653043387532,ERC
2015-02-27,VEA,0.5055542534236634,ERC
2015-03-31,VEA,0.5093844935992631,ERC
2015-04-30,VEA,0.5115669894741061,ERC
2015-05-29,VEA,0.5179964903723558,ERC
2015-06-30,VEA,0.5193566846517262,ERC
2015-07-31,VEA,0.5174376903240654,ERC
2015-08-31,VEA,0.5135071776402722,ERC
2015-09-30,VEA,0.5123099054675261,ERC
2015-10-30,VEA,0.5084129942083712,ERC
2015-11-30,VEA,0.5048137434772041,ERC
2015-12-31,VEA,0.5055698647207033,ERC
2016-01-29,VEA,0.5005611502451176,ERC
2016-02-29,VEA,0.49983374416588383,ERC
2016-03-31,VEA,0.5025295067877201,ERC
2016-04-29,VEA,0.5007004133057983,ERC
2016-05-31,VEA,0.49982086689481076,ERC
2016-06-30,VEA,0.49328751215668887,ERC
2016-07-29,VEA,0.49368117911573617,ERC
2016-08-31,VEA,0.5063148314325824,ERC
2016-09-30,VEA,0.5214315486867599,ERC
2016-10-31,VEA,0.5259975409342326,ERC
2016-11-30,VEA,0.5372203979365229,ERC
2016-12-30,VEA,0.5378292174481956,ERC
2017-01-31,VEA,0.5401499082208243,ERC
2017-02-28,VEA,0.5407678016217915,ERC
2017-03-31,VEA,0.539457495898554,ERC
2017-04-28,VEA,0.5366086990967481,ERC
2017-05-31,VEA,0.5350060541529581,ERC
2017-06-30,VEA,0.5422648781520355,ERC
2017-07-31,VEA,0.5427330130020137,ERC
2017-08-31,VEA,0.5443797217288613,ERC
2017-09-29,VEA,0.5437916863094873,ERC
2017-10-31,VEA,0.5467393485183265,ERC
2017-11-30,VEA,0.5472743817747174,ERC
2017-12-29,VEA,0.5476780275800897,ERC
2018-01-31,VEA,0.5495444178013507,ERC
2018-02-28,VEA,0.5548206399504879,ERC
2018-03-29,VEA,0.5557875512140282,ERC
2018-04-30,VEA,0.5556406270554293,ERC
2018-05-31,VEA,0.5535087758318656,ERC
2018-06-29,VEA,0.5413040124924169,ERC
2018-07-31,VEA,0.5370535047996914,ERC
2018-08-31,VEA,0.5370336510307528,ERC
2018-09-28,VEA,0.5321992181038974,ERC
2018-10-31,VEA,0.5302206069664325,ERC
2018-11-30,VEA,0.5270822220211577,ERC
2018-12-31,VEA,0.5243287051490385,ERC
2019-01-31,VEA,0.5235057712760002,ERC
2019-02-28,VEA,0.526339411386163,ERC
2019-03-29,VEA,0.5288833761096355,ERC
2019-04-30,VEA,0.5286046897581616,ERC
2019-05-31,VEA,0.5289293696393152,ERC
2019-06-28,VEA,0.5306028742066042,ERC
2019-07-31,VEA,0.5349648805878782,ERC
2019-08-30,VEA,0.5319202819478015,ERC
2019-09-30,VEA,0.5308619275754316,ERC
2019-10-31,VEA,0.5288823214471132,ERC
2019-11-29,VEA,0.5277670032761365,ERC
2019-12-31,VEA,0.5283676460863378,ERC
2020-01-31,VEA,0.5296404892178096,ERC
2020-02-28,VEA,0.5266449634037168,ERC
2020-03-31,VEA,0.5687572882592244,ERC
2020-04-30,VEA,0.5707700555569672,ERC
2020-05-29,VEA,0.5674151270673485,ERC
2020-06-30,VEA,0.5682475297357051,ERC
2020-07-31,VEA,0.574390007005753,ERC
2020-08-31,VEA,0.5770712220251742,ERC
2020-09-30,VEA,0.5810378671098569,ERC
2020-10-30,VEA,0.5819205329871925,ERC
2020-11-30,VEA,0.5797422355785544,ERC
2020-12-31,VEA,0.5788141197588504,ERC
2021-01-29,VEA,0.5806623625113615,ERC
2021-02-26,VEA,0.5865649989121365,ERC
2021-03-31,VEA,0.5864091815546277,ERC
2021-04-30,VEA,0.5888330543392237,ERC
2021-05-28,VEA,0.5941751652380735,ERC
2021-06-30,VEA,0.6094037660081826,ERC
2021-07-30,VEA,0.6091518828899739,ERC
2021-08-31,VEA,0.6084899580195894,ERC
2021-09-30,VEA,0.6057305387571996,ERC
2021-10-29,VEA,0.6054904784277328,ERC
2021-11-30,VEA,0.6046860771819831,ERC
2021-12-31,VEA,0.6019872916348488,ERC
2022-01-31,VEA,0.6018788014499775,ERC
2022-02-28,VEA,0.6019668898560493,ERC
2022-03-31,VEA,0.5842615047663023,ERC
2022-04-29,VEA,0.5890536981316992,ERC
2022-05-31,VEA,0.5942313422052593,ERC
2022-06-30,VEA,0.6038399793544932,ERC
2022-07-29,VEA,0.60534444916517,ERC
2022-08-31,VEA,0.6129612364670197,ERC
2022-09-30,VEA,0.6258803705594779,ERC
2022-10-31,VEA,0.6342708165891432,ERC
2022-11-30,VEA,0.6470423903251115,ERC
2022-12-30,VEA,0.6516265061428269,ERC
2023-01-31,VEA,0.6560674220832773,ERC
2023-02-28,VEA,0.6591719643146425,ERC
2023-03-31,VEA,0.6536622807289436,ERC
2023-04-28,VEA,0.653607418953225,ERC
2023-05-31,VEA,0.6534354173483182,ERC
2023-06-30,VEA,0.65602728131112,ERC
2023-07-31,VEA,0.6596679378054883,ERC
2023-08-31,VEA,0.6632349748022717,ERC
2023-09-29,VEA,0.6645143829322814,ERC
2023-10-31,VEA,0.664982646608765,ERC
2023-11-30,VEA,0.6690166829333116,ERC
2023-12-29,VEA,0.6727891393405888,ERC
2024-01-31,VEA,0.6748866369833924,ERC
2024-02-29,VEA,0.6773914070918624,ERC
2024-03-28,VEA,0.6792273189293729,ERC
2024-04-30,VEA,0.6813685349178887,ERC
2024-05-31,VEA,0.6848507167721138,ERC
2024-06-28,VEA,0.6846514414476618,ERC
2024-07-31,VEA,0.68623837596207,ERC
2024-08-30,VEA,0.6888499499764464,ERC
2024-09-30,VEA,0.6908533068970418,ERC
2024-10-31,VEA,0.6920215687965251,ERC
2024-11-29,VEA,0.6946876789277145,ERC
2024-12-31,VEA,0.6961588672243317,ERC
2025-01-31,VEA,0.6984734550917687,ERC
2025-02-28,VEA,0.7023049911602768,ERC
2025-03-31,VEA,0.7047538980758039,ERC
2025-04-30,VEA,0.7103453118533458,ERC
2025-05-30,VEA,0.7119639744440608,ERC
2025-06-30,VEA,0.7133315539435213,ERC
2025-07-31,VEA,0.7132562287911016,ERC
2025-08-29,VEA,0.7167362228641196,ERC
2025-09-30,VEA,0.7166657035647319,ERC
2025-10-31,VEA,0.7169770301270849,ERC
2025-11-28,VEA,0.7198317581493818,ERC
2013-01-31,VNQ,0.4687143942871481,ERC
2013-02-28,VNQ,0.4707503195456299,ERC
2013-03-28,VNQ,0.474689942863164,ERC
2013-04-30,VNQ,0.47831167736539715,ERC
2013-05-31,VNQ,0.48047123610404013,ERC
2013-06-28,VNQ,0.4886407814888757,ERC
2013-07-31,VNQ,0.4985850155084839,ERC
2013-08-30,VNQ,0.5059703045318897,ERC
2013-09-30,VNQ,0.5185633030878299,ERC
2013-10-31,VNQ,0.5394955256603176,ERC
2013-11-29,VNQ,0.5475267874335733,ERC
2013-12-31,VNQ,0.5507157301339521,ERC
2014-01-31,VNQ,0.5479379987991843,ERC
2014-02-28,VNQ,0.5425886749423225,ERC
2014-03-31,VNQ,0.5324012201354812,ERC
2014-04-30,VNQ,0.5429458630811621,ERC
2014-05-30,VNQ,0.5341857919223478,ERC
2014-06-30,VNQ,0.5350350424708784,ERC
2014-07-31,VNQ,0.5350396110722033,ERC
2014-08-29,VNQ,0.5440164990539158,ERC
2014-09-30,VNQ,0.544405896329513,ERC
2014-10-31,VNQ,0.5444607665185922,ERC
2014-11-28,VNQ,0.5404788987056669,ERC
2014-12-31,VNQ,0.5430273628040067,ERC
2015-01-30,VNQ,0.5474992204368695,ERC
2015-02-27,VNQ,0.5473074571964576,ERC
2015-03-31,VNQ,0.555995184516759,ERC
2015-04-30,VNQ,0.5613808768924572,ERC
2015-05-29,VNQ,0.5669121244933,ERC
2015-06-30,VNQ,0.5729469899974772,ERC
2015-07-31,VNQ,0.5732720617397983,ERC
2015-08-31,VNQ,0.5785411378181096,ERC
2015-09-30,VNQ,0.5816602610536705,ERC
2015-10-30,VNQ,0.5780083162751277,ERC
2015-11-30,VNQ,0.5740220628862306,ERC
2015-12-31,VNQ,0.5742264782761595,ERC
2016-01-29,VNQ,0.573391263684979,ERC
2016-02-29,VNQ,0.5739085101297677,ERC
2016-03-31,VNQ,0.5784909842884839,ERC
2016-04-29,VNQ,0.5767991216964505,ERC
2016-05-31,VNQ,0.5747786886178421,ERC
2016-06-30,VNQ,0.5753842946228465,ERC
2016-07-29,VNQ,0.5741962210281867,ERC
2016-08-31,VNQ,0.5842928879418284,ERC
2016-09-30,VNQ,0.6016233943984819,ERC
2016-10-31,VNQ,0.6115253799497091,ERC
2016-11-30,VNQ,0.6104688063085019,ERC
2016-12-30,VNQ,0.6115649509933404,ERC
2017-01-31,VNQ,0.6114082334376282,ERC
2017-02-28,VNQ,0.6143784495263921,ERC
2017-03-31,VNQ,0.6210974226447362,ERC
2017-04-28,VNQ,0.622889182450429,ERC
2017-05-31,VNQ,0.6242851303421371,ERC
2017-06-30,VNQ,0.6269567980424228,ERC
2017-07-31,VNQ,0.6253568755958243,ERC
2017-08-31,VNQ,0.6245276616723229,ERC
