date,strategy,obj_total,dr_term,smooth_term,l2_term,band_penalty
2015-12-31,GMV,7.874249561513656e-06,0.1273805489099595,0.0,0.0,0.0
2016-01-29,GMV,7.83255567867801e-06,0.11928419459685125,0.0,0.0,0.0
2016-02-29,GMV,7.89541607195079e-06,0.11754092604713004,0.0,0.0,0.0
2016-03-31,GMV,7.934016069327034e-06,0.12124850346688568,0.0,0.0,0.0
2016-04-29,GMV,7.883262852258963e-06,0.11903881692333962,0.0,0.0,0.0
2016-05-31,GMV,7.907347908279257e-06,0.12148581380222326,0.0,0.0,0.0
2016-06-30,GMV,7.936415894282156e-06,0.1176896479978205,0.0,0.0,0.0
2016-07-29,GMV,7.896602059559224e-06,0.12167331984048244,0.0,0.0,0.0
2016-08-31,GMV,7.362264252200793e-06,0.11965173940040538,0.0,0.0,0.0
2016-09-30,GMV,7.4229366820363e-06,0.11848572687414713,0.0,0.0,0.0
2016-10-31,GMV,7.315009493130659e-06,0.11820697171329489,0.0,0.0,0.0
2016-11-30,GMV,7.2701888461953544e-06,0.12351908536423659,0.0,0.0,0.0
2016-12-30,GMV,7.192010518845541e-06,0.1233509745739105,0.0,0.0,0.0
2017-01-31,GMV,7.218010877203094e-06,0.12387279032158416,0.0,0.0,0.0
2017-02-28,GMV,7.24768769746312e-06,0.12592791790876443,0.0,0.0,0.0
2017-03-31,GMV,7.250248887321297e-06,0.12655153862971996,0.0,0.0,0.0
2017-04-28,GMV,7.186091321728581e-06,0.1273146728676718,0.0,0.0,0.0
2017-05-31,GMV,7.163012245826634e-06,0.12730219644607052,0.0,0.0,0.0
2017-06-30,GMV,7.14996187517587e-06,0.1278181591414397,0.0,0.0,0.0
2017-07-31,GMV,7.135013719331535e-06,0.12820161474526373,0.0,0.0,0.0
2017-08-31,GMV,7.0824814448389755e-06,0.12779857731330266,0.0,0.0,0.0
2017-09-29,GMV,7.07816581917918e-06,0.12864670440255854,0.0,0.0,0.0
2017-10-31,GMV,7.098262525746923e-06,0.12931749986161636,0.0,0.0,0.0
2017-11-30,GMV,7.103496389393514e-06,0.13130499787711317,0.0,0.0,0.0
2017-12-29,GMV,7.1272517802640984e-06,0.1313018759341596,0.0,0.0,0.0
2018-01-31,GMV,7.239661438846321e-06,0.1392981277898731,0.0,0.0,0.0
2018-02-28,GMV,7.249745447482535e-06,0.13096640828034847,0.0,0.0,0.0
2018-03-29,GMV,7.259819568955674e-06,0.12852551196896114,0.0,0.0,0.0
2018-04-30,GMV,7.315148146726546e-06,0.12872508797162452,0.0,0.0,0.0
2018-05-31,GMV,7.299063645341433e-06,0.13011008307614325,0.0,0.0,0.0
2018-06-29,GMV,6.747869752973071e-06,0.1302595187119362,0.0,0.0,0.0
2018-07-31,GMV,6.5870087331202465e-06,0.13659501429417825,0.0,0.0,0.0
2018-08-31,GMV,6.437354191239626e-06,0.14143019518496988,0.0,0.0,0.0
2018-09-28,GMV,6.109352785218944e-06,0.13519894965361126,0.0,0.0,0.0
2018-10-31,GMV,6.111602617391048e-06,0.12876785627541998,0.0,0.0,0.0
2018-11-30,GMV,6.107463650729463e-06,0.13366487327975934,0.0,0.0,0.0
2018-12-31,GMV,6.1603421636154184e-06,0.12051275703793221,0.0,0.0,0.0
2019-01-31,GMV,6.17361835060613e-06,0.12509583003068364,0.0,0.0,0.0
2019-02-28,GMV,6.188506903632479e-06,0.12598412682032373,0.0,0.0,0.0
2019-03-29,GMV,6.148108018931813e-06,0.12615400757018672,0.0,0.0,0.0
2019-04-30,GMV,6.167196939796909e-06,0.12780223667396504,0.0,0.0,0.0
2019-05-31,GMV,6.18168992047676e-06,0.11604553043880592,0.0,0.0,0.0
2019-06-28,GMV,6.238448649717995e-06,0.12027012718401928,0.0,0.0,0.0
2019-07-31,GMV,6.292116461721596e-06,0.12200028123522103,0.0,0.0,0.0
2019-08-30,GMV,6.3144704156971354e-06,0.11586056006372447,0.0,0.0,0.0
2019-09-30,GMV,6.3785862315415056e-06,0.11857836985791093,0.0,0.0,0.0
2019-10-31,GMV,6.3752010324637055e-06,0.1188466476671731,0.0,0.0,0.0
2019-11-29,GMV,6.380043768654062e-06,0.12177927403399846,0.0,0.0,0.0
2019-12-31,GMV,6.353978530248109e-06,0.12065696326048928,0.0,0.0,0.0
2020-01-31,GMV,6.353917709702096e-06,0.1177748115214475,0.0,0.0,0.0
2020-02-28,GMV,6.294706940152543e-06,0.10881441746656062,0.0,0.0,0.0
2020-03-31,GMV,1.0821482342456715e-05,0.1040128319749597,0.0,0.0,0.0
2020-04-30,GMV,1.1388936314621148e-05,0.10663328240894235,0.0,0.0,0.0
2020-05-29,GMV,1.1375727537824746e-05,0.10565287194357281,0.0,0.0,0.0
2020-06-30,GMV,1.144621119084221e-05,0.10505987104564668,0.0,0.0,0.0
2020-07-31,GMV,1.1350889918823723e-05,0.09507135557461555,0.0,0.0,0.0
2020-08-31,GMV,1.1368381536932651e-05,0.09094931774749465,0.0,0.0,0.0
2020-09-30,GMV,1.1439158615289633e-05,0.09152826793656868,0.0,0.0,0.0
2020-10-30,GMV,1.1462073875669054e-05,0.09251586974831918,0.0,0.0,0.0
2020-11-30,GMV,1.1533447222645208e-05,0.0943019185239293,0.0,0.0,0.0
2020-12-31,GMV,1.1387493113189888e-05,0.09156613902052507,0.0,0.0,0.0
2021-01-29,GMV,1.1403638199892775e-05,0.0901508443419731,0.0,0.0,0.0
2021-02-26,GMV,1.1530585489209332e-05,0.08872312615435646,0.0,0.0,0.0
2021-03-31,GMV,1.1758624045627136e-05,0.08841953305470315,0.0,0.0,0.0
2021-04-30,GMV,1.1835434210897927e-05,0.08621448409191809,0.0,0.0,0.0
2021-05-28,GMV,1.1867832433126663e-05,0.08421916642121732,0.0,0.0,0.0
2021-06-30,GMV,1.1790624618160007e-05,0.08162120950999838,0.0,0.0,0.0
2021-07-30,GMV,1.1702066659896264e-05,0.08102900465377427,0.0,0.0,0.0
2021-08-31,GMV,1.1736819360114746e-05,0.08033535614609508,0.0,0.0,0.0
2021-09-30,GMV,1.1689462334626097e-05,0.08004333758885138,0.0,0.0,0.0
2021-10-29,GMV,1.1721231130066092e-05,0.07840025825970465,0.0,0.0,0.0
2021-11-30,GMV,1.1731758115593604e-05,0.07860926936189647,0.0,0.0,0.0
2021-12-31,GMV,1.1714855662862193e-05,0.07762633505159428,0.0,0.0,0.0
2022-01-31,GMV,1.1816935853416844e-05,0.07531805175244746,0.0,0.0,0.0
2022-02-28,GMV,1.2032182718157854e-05,0.07255321287318742,0.0,0.0,0.0
2022-03-31,GMV,1.2715927321648092e-05,0.07021877084801673,0.0,0.0,0.0
2022-04-29,GMV,1.2960195660257732e-05,0.06835714073788435,0.0,0.0,0.0
2022-05-31,GMV,1.3448641728610849e-05,0.06920989107293611,0.0,0.0,0.0
2022-06-30,GMV,1.4263045626559064e-05,0.06872856171513941,0.0,0.0,0.0
2022-07-29,GMV,1.467135543658003e-05,0.07039031320435045,0.0,0.0,0.0
2022-08-31,GMV,1.5139529495313287e-05,0.06961899719343487,0.0,0.0,0.0
2022-09-30,GMV,1.6218715661001123e-05,0.06977940809550705,0.0,0.0,0.0
2022-10-31,GMV,1.6899835292847004e-05,0.06818255499345337,0.0,0.0,0.0
2022-11-30,GMV,1.7725409696055944e-05,0.06987048219642167,0.0,0.0,0.0
2022-12-30,GMV,1.8318881848510416e-05,0.0698371746125957,0.0,0.0,0.0
2023-01-31,GMV,1.867684939663322e-05,0.07174273191348267,0.0,0.0,0.0
2023-02-28,GMV,1.877073960202668e-05,0.07596137435631495,0.0,0.0,0.0
2023-03-31,GMV,1.9272586144750203e-05,0.07713862504068794,0.0,0.0,0.0
2023-04-28,GMV,1.9407496773426878e-05,0.07740645069940408,0.0,0.0,0.0
2023-05-31,GMV,1.9580899907179925e-05,0.07627509560346973,0.0,0.0,0.0
2023-06-30,GMV,1.9755836280386096e-05,0.0767912929306599,0.0,0.0,0.0
2023-07-31,GMV,2.0059131281533163e-05,0.07661857512176248,0.0,0.0,0.0
2023-08-31,GMV,2.033988677155478e-05,0.07703493322219199,0.0,0.0,0.0
2023-09-29,GMV,2.047323159043395e-05,0.07653162337715913,0.0,0.0,0.0
2023-10-31,GMV,2.0834497589642556e-05,0.07650028632783021,0.0,0.0,0.0
2023-11-30,GMV,2.1117469277289626e-05,0.08032288208297744,0.0,0.0,0.0
2023-12-29,GMV,2.1468533052013322e-05,0.08310696635731757,0.0,0.0,0.0
2024-01-31,GMV,2.1586024271579355e-05,0.08255787474653879,0.0,0.0,0.0
2024-02-29,GMV,2.1721056896835527e-05,0.08183579455202877,0.0,0.0,0.0
2024-03-28,GMV,2.1734467724361072e-05,0.08186941627371366,0.0,0.0,0.0
2024-04-30,GMV,2.1827848370831484e-05,0.08110240214162784,0.0,0.0,0.0
2024-05-31,GMV,2.202436973594432e-05,0.08115455317722772,0.0,0.0,0.0
2024-06-28,GMV,2.2093624561076796e-05,0.08076360830495291,0.0,0.0,0.0
2024-07-31,GMV,2.2210052461866817e-05,0.08193689107073976,0.0,0.0,0.0
2024-08-30,GMV,2.237474992860048e-05,0.08246387848527925,0.0,0.0,0.0
2024-09-30,GMV,2.227861209842345e-05,0.08247998323920863,0.0,0.0,0.0
2024-10-31,GMV,2.233301445570238e-05,0.08143980188611605,0.0,0.0,0.0
